"Trt","mean_diff_all"
"All",0
"All-B",2.68614916117726
"All-K",1.31994408816207
"All-KSZnB",0.866524471366723
"All-N",-39.5993054311537
"All-P",-11.6211536124745
"All-S",2.77685207334309
"All-Zn",1.24009351316126
"Control",-52.674234142146
"recNP+S2",-0.329279972106899
