Lat_DD,Lon_DD
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.37,37.42
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.16,37.59
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.17,37.45
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
11.23,37.47
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.88
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.52,36.89
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.54,36.95
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.56,36.93
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.59,36.9
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.62,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
10.66,36.96
